Unnamed: 0,Organism,GH_family,EC_number,GenBank_accession,UniProt_accession,PDB
0,azoarcus sp. bh72,GH5_5,3.2.1.4,ABB92850.1,A0S6A6,
1,martelella mediterranea,GH5_5,3.2.1.4,WP_018063499.1,,
2,pseudomonas sp. mm15,GH5_5,3.2.1.4,AEM45646.1,G3EWG4,
3,ralstonia solanacearum aw,GH5_5,3.2.1.4,AAA61980.1,P17974,
4,sinorhizobium meliloti m5n1cs,GH5_5,3.2.1.4,AAG44364.1,Q9F0G8,
5,stutzerimonas stutzeri a1501,GH5_5,3.2.1.4,ABP80146.1,A4VME5,"4LX4[A,B,C,D], 6R2J[A,B,C,D]"
6,aspergillus fumigatus z5,GH5_5,3.2.1.4,ADX78144.1,F1DGF4,
7,aspergillus fumigatus z5,GH5_5,3.2.1.4,ADX78145.1,F1DGF5,
8,aspergillus kawachii,GH5_5,3.2.1.4,BAB62317.1,Q96WR0,
9,aspergillus nidulans fgsc a4,GH5_5,3.2.1.4,EAA65878.1,Q5BDU5,
10,aspergillus nidulans fgsc a4,GH5_5,3.2.1.4,ABF50872.1,Q1HFS8,
11,aspergillus niger bcrc 31494,GH5_5,3.2.1.4,ACT68011.1,O74706,
12,aspergillus niger ifo31125,GH5_5,3.2.1.4,AAG50051.1,O74706,"5I77[A], 5I78[A,B], 5I79[A,B]"
13,aureobasidium pullulans atcc 62921 / nrrl y-2311-1,GH5_5,3.2.1.4,AEM23896.1,H2B656,
14,ciboria shiraiana,GH5_5,3.2.1.4,AIC79156.1,A0A068B5I5,
15,cryptococcus sp. s-2,GH5_5,3.2.1.4,ABP02069.1,A4UU22,
16,ganoderma lucidum,GH5_5,3.2.1.4,QDK64599.1,A0A1A9TAJ1,"5D8W[A,B], 5D8Z[A,B]"
17,gloeophyllum trabeum atcc 11539,GH5_5,3.2.1.4,ADH51728.1,D7REW1,
18,humicola grisea var. thermoidea ifo9854,GH5_5,3.2.1.4,BAA12676.1,Q12624,
19,humicola insolens atcc 16454,GH5_5,3.2.1.4,CAA53631.1,Q12624,
20,irpex lacteus mc-2,GH5_5,3.2.1.4,BAD67544.1,Q5W7K4,
21,laccaria bicolor s238n-h82,GH5_5,3.2.1.4,XP_001879429.1,B0D5M7,
22,macrophomina phaseolina,GH5_5,3.2.1.4,AAB51451.1,Q12638,
23,macrophomina phaseolina,GH5_5,3.2.1.4,AAB03889.1,Q12637,
24,neurospora crassa or74a,GH5_5,3.2.1.4,CAE81955.1,Q6MGI3,
25,penicillium brasilianum ibt 20888,GH5_5,3.2.1.4,ACB06750.1,B8Q961,
26,penicillium decumbens 114-2 / ju-a10,GH5_5,3.2.1.4,ABY28340.1,A9Z054,
27,penicillium echinulatum 9a01s2,GH5_5,3.2.1.4,ACR82487.1,C5J4L7,
28,penicillium janthinellum biourge imet 43733 (c41),GH5_5,3.2.1.4,CAA61740.1,Q12665,
29,phialophora sp. g5 / cgmcc 3328,GH5_5,3.2.1.4,ADZ44606.1,H6TJC5,
30,postia placenta mad-698-r,GH5_5,3.2.1.4,ADH51729.1,D7REW2,
31,postia placenta mad-698-r,GH5_5,3.2.1.4,XP_002475436.1,B8PID6,
32,rasamsonia emersonii cbs 394.64,GH5_5,3.2.1.4,AHV83755.1,X4YXV3,
33,rasamsonia emersonii imi 392299,GH5_5,3.2.1.4,AAL33639.2,Q8WZD7,
34,robillarda sp. y-20,GH5_5,3.2.1.4,BAA90480.1,P23044,
35,saitozyma flava mut-6,GH5_5,3.2.1.4,AAC60541.1,Q04469,
36,schizophyllum commune h4-8,GH5_5,3.2.1.4,EFI96731.1,D8Q439,
37,stegonsporium opalus,GH5_5,3.2.1.4,ARO48344.1,A0A1W6R2C1,
38,talaromyces amestolkiae,GH5_5,3.2.1.4,ATY39124.1,A0A2H4R4J8,
39,talaromyces cellulolyticus y-94,GH5_5,3.2.1.4,GAM33994.1,A0A698XMA4,
40,talaromyces pinophilus kmj601,GH5_5,3.2.1.4,ACN43345.1,C0L2S4,
41,talaromyces verruculosus b221-151,GH5_5,3.2.1.4,,A0A1U7Q1U3,5I6S[A]
42,thermoascus aurantiacus ifo 9748,GH5_5,3.2.1.4,AAL88714.2,Q8TG26,"1GZJ[A,B], 1H1N[A,B], 7R28[A,B], 7R29[A,B], 7R2A[A,B], 7R2C[A,B], 7R2D[A,B], 9F0M[A,B], 9F0N[A,B]"
43,thermothelomyces thermophilus atcc 42464,GH5_5,3.2.1.4,AEO53769.1,G2Q5D8,
44,trametes hirsuta,GH5_5,3.2.1.4,BAD01163.1,Q75UV6,
45,trametes versicolor,GH5_5,3.2.1.4,XP_008039932.1,,
46,trichoderma reesei,GH5_5,3.2.1.4,AAA34213.1,P07982,"3QR3[A,B]"
47,trichoderma sp. c-4,GH5_5,3.2.1.4,AAR29981.1,Q6S4S0,
48,trichoderma viride as 3.3711,GH5_5,3.2.1.4,AAQ21383.1,Q7Z7X2,
49,trichoderma viride as 3.3711,GH5_5,3.2.1.4,ACD36972.1,B4YEW2,
50,trichoderma viride mc300-1,GH5_5,3.2.1.4,BAA36216.1,O93833,
51,tricholoma matsutake nbrc 30605,GH5_5,3.2.1.4,BBG31500.1,A0A387K9G9,
52,volvariella volvacea v14,GH5_5,3.2.1.4,AAG59832.1,G4WYN8,
53,volvariella volvacea wx32,GH5_5,3.2.1.4,ACE06751.1,B3GQ73,
