#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
GH48.hmm             -            611 AEV70443.1           -            728  1.6e-266  881.5  31.4   1   1  6.2e-269  1.8e-266  881.3  31.4     1   609    31   645    31   647 0.97 -
dockerin.hmm         -             21 AEV70443.1           -            728   1.6e-12   42.5   7.5   1   2   5.6e-10   1.6e-07   26.7   0.8     1    21   668   688   668   688 0.98 -
dockerin.hmm         -             21 AEV70443.1           -            728   1.6e-12   42.5   7.5   2   2   1.3e-07   3.8e-05   19.2   1.0     1    21   702   722   702   722 0.95 -
GH124.hmm            -            332 AEV70443.1           -            728   0.00072   14.5   0.5   1   1   5.9e-06    0.0017   13.2   0.5    34    98   664   727   660   728 0.87 -
GH48.hmm             -            611 ABN51312.1           -            938  1.2e-276  914.9  31.3   1   1  3.5e-279  1.5e-276  914.6  31.3     1   609    59   679    59   681 0.99 -
CBM3.hmm             -             88 ABN51312.1           -            938   3.4e-31  103.5   1.0   1   2      0.44   1.9e+02   -1.5   0.2    18    37    31    50    28    50 0.83 -
CBM3.hmm             -             88 ABN51312.1           -            938   3.4e-31  103.5   1.0   2   2   7.9e-34   3.4e-31  103.5   1.0     1    88   794   875   794   875 0.99 -
GH48.hmm             -            611 ABN53296.1           -            741  3.7e-277  916.6  33.4   1   1  1.5e-279  4.3e-277  916.4  33.4     1   609    40   658    40   660 0.97 -
dockerin.hmm         -             21 ABN53296.1           -            741   2.2e-17   57.9   7.3   1   2   5.6e-11   1.6e-08   29.8   1.6     1    21   679   699   679   699 0.98 -
dockerin.hmm         -             21 ABN53296.1           -            741   2.2e-17   57.9   7.3   2   2   2.6e-11   7.5e-09   30.9   0.4     1    21   711   731   711   731 0.98 -
GH124.hmm            -            332 ABN53296.1           -            741   3.5e-08   28.6   0.1   1   1   2.7e-10   7.7e-08   27.5   0.1    33   101   674   739   644   741 0.81 -
GH48.hmm             -            611 ADU75731.1           -            744  5.1e-277  916.1  34.0   1   1    2e-279    6e-277  915.9  34.0     1   609    43   661    43   663 0.97 -
dockerin.hmm         -             21 ADU75731.1           -            744   2.2e-17   57.9   7.3   1   2   5.6e-11   1.6e-08   29.8   1.6     1    21   682   702   682   702 0.98 -
dockerin.hmm         -             21 ADU75731.1           -            744   2.2e-17   57.9   7.3   2   2   2.6e-11   7.5e-09   30.9   0.4     1    21   714   734   714   734 0.98 -
GH124.hmm            -            332 ADU75731.1           -            744   3.5e-08   28.6   0.1   1   1   2.7e-10   7.8e-08   27.5   0.1    33   101   677   742   647   744 0.81 -
GH48.hmm             -            611 AAA23226.1           -            741  3.7e-277  916.6  33.4   1   1  1.5e-279  4.3e-277  916.4  33.4     1   609    40   658    40   660 0.97 -
dockerin.hmm         -             21 AAA23226.1           -            741   2.2e-17   57.9   7.3   1   2   5.6e-11   1.6e-08   29.8   1.6     1    21   679   699   679   699 0.98 -
dockerin.hmm         -             21 AAA23226.1           -            741   2.2e-17   57.9   7.3   2   2   2.6e-11   7.5e-09   30.9   0.4     1    21   711   731   711   731 0.98 -
GH124.hmm            -            332 AAA23226.1           -            741   3.5e-08   28.6   0.1   1   1   2.7e-10   7.7e-08   27.5   0.1    33   101   674   739   644   741 0.81 -
GH48.hmm             -            611 WP_045175321.1       -           1511         0 1013.3  33.6   1   2         1   1.7e+02   -3.8   0.0   426   482   782   837   776   839 0.81 -
GH48.hmm             -            611 WP_045175321.1       -           1511         0 1013.3  33.6   2   2         0         0 1013.3  33.6     1   611   886  1507   886  1507 0.99 -
GH10.hmm             -            303 WP_045175321.1       -           1511  2.8e-117  387.0   0.6   1   1  2.7e-119  4.8e-117  386.2   0.6     2   303    45   372    44   372 0.94 -
GH12.hmm             -            156 WP_045175321.1       -           1511   6.9e-41  135.7   9.1   1   2       3.4     6e+02   -3.8   0.6    59    89   507   537   504   551 0.74 -
GH12.hmm             -            156 WP_045175321.1       -           1511   6.9e-41  135.7   9.1   2   2   3.9e-43   6.9e-41  135.7   9.1     1   156   688   836   688   836 0.93 -
CBM3.hmm             -             88 WP_045175321.1       -           1511   1.6e-29   98.2   2.8   1   2   1.9e-31   3.4e-29   97.1   0.7     2    88   420   500   419   500 0.98 -
CBM3.hmm             -             88 WP_045175321.1       -           1511   1.6e-29   98.2   2.8   2   2       1.1   1.9e+02   -1.5   0.1    39    74   521   557   510   563 0.60 -
GH5_57.hmm           -            297 WP_045175321.1       -           1511   4.4e-05   18.6   0.1   1   1   4.8e-07   8.4e-05   17.7   0.1    38   116   104   180   101   216 0.82 -
GH48.hmm             -            611 AAU40776.1           -            704  1.3e-246  815.8  33.5   1   2  1.3e-215  1.1e-212  703.7  32.4     2   451     4   463     3   469 0.97 -
GH48.hmm             -            611 AAU40776.1           -            704  1.3e-246  815.8  33.5   2   2   3.4e-36   2.9e-33  111.0   0.0   449   611   491   700   485   700 0.84 -
GH48.hmm             -            611 ACM60955.1           -           1759    2e-304 1006.7  33.8   1   2      0.03       8.8    0.5   2.8   298   383   159   246   155   263 0.82 -
GH48.hmm             -            611 ACM60955.1           -           1759    2e-304 1006.7  33.8   2   2  6.8e-307    2e-304 1006.7  33.8     1   611  1134  1755  1134  1755 0.99 -
GH9.hmm              -            418 ACM60955.1           -           1759  2.8e-142  470.7  21.7   1   2  9.7e-145  2.8e-142  470.7  21.7     1   418    36   466    36   466 0.92 -
GH9.hmm              -            418 ACM60955.1           -           1759  2.8e-142  470.7  21.7   2   2       0.9   2.6e+02   -3.6   0.7   192   217  1496  1521  1452  1645 0.53 -
CBM3.hmm             -             88 ACM60955.1           -           1759   8.2e-81  262.5  25.9   1   6   9.6e-27   2.8e-24   81.3   0.2     1    88   491   576   491   576 0.98 -
CBM3.hmm             -             88 ACM60955.1           -           1759   8.2e-81  262.5  25.9   2   6   6.3e-32   1.8e-29   97.9   0.9     2    88   724   804   723   804 0.98 -
CBM3.hmm             -             88 ACM60955.1           -           1759   8.2e-81  262.5  25.9   3   6      0.28        81   -0.3   0.1    39    75   825   862   817   867 0.58 -
CBM3.hmm             -             88 ACM60955.1           -           1759   8.2e-81  262.5  25.9   4   6   6.3e-32   1.8e-29   97.9   0.9     2    88   923  1003   922  1003 0.98 -
CBM3.hmm             -             88 ACM60955.1           -           1759   8.2e-81  262.5  25.9   5   6      0.28        81   -0.3   0.1    39    75  1024  1061  1016  1066 0.58 -
CBM3.hmm             -             88 ACM60955.1           -           1759   8.2e-81  262.5  25.9   6   6         3   8.8e+02   -3.8   0.1    50    81  1359  1383  1351  1385 0.63 -
GH48.hmm             -            611 ACM60948.1           -           1904  1.4e-304 1007.2  33.8   1   1    8e-307  2.3e-304 1006.5  33.8     1   611  1279  1900  1279  1900 0.99 -
GH74.hmm             -            233 ACM60948.1           -           1904   1.4e-95  314.9  32.1   1   8   1.3e-07   3.9e-05   18.9   0.2    59   110    38    85    26    86 0.80 -
GH74.hmm             -            233 ACM60948.1           -           1904   1.4e-95  314.9  32.1   2   8   1.4e-32   4.2e-30  100.6   0.0     2   115    84   200    83   209 0.96 -
GH74.hmm             -            233 ACM60948.1           -           1904   1.4e-95  314.9  32.1   3   8   7.1e-19   2.1e-16   55.8   0.2    73   181   227   338   216   344 0.83 -
GH74.hmm             -            233 ACM60948.1           -           1904   1.4e-95  314.9  32.1   4   8   8.6e-07   0.00025   16.2   1.7    75   112   330   369   321   383 0.78 -
GH74.hmm             -            233 ACM60948.1           -           1904   1.4e-95  314.9  32.1   5   8      0.98   2.9e+02   -3.6   0.0   173   185   413   425   410   428 0.81 -
GH74.hmm             -            233 ACM60948.1           -           1904   1.4e-95  314.9  32.1   6   8   4.1e-19   1.2e-16   56.5   3.0    10   118   494   598   487   601 0.92 -
GH74.hmm             -            233 ACM60948.1           -           1904   1.4e-95  314.9  32.1   7   8     6e-22   1.8e-19   65.8   0.2    24   136   592   698   589   704 0.89 -
GH74.hmm             -            233 ACM60948.1           -           1904   1.4e-95  314.9  32.1   8   8   5.8e-09   1.7e-06   23.3   0.1    86   130   696   740   687   750 0.84 -
CBM3.hmm             -             88 ACM60948.1           -           1904   1.9e-57  187.7  17.1   1   4     7e-32     2e-29   97.8   0.9     2    88   841   921   840   921 0.98 -
CBM3.hmm             -             88 ACM60948.1           -           1904   1.9e-57  187.7  17.1   2   4      0.33        96   -0.5   0.1    39    74   942   978   933   984 0.61 -
